0;0;0;0;land;false;urban;1
1;187;239;95;land;false;plains;1
2;252;16;236;land;false;plains;1
3;212;243;78;land;false;plains;1
4;61;203;238;land;false;urban;1
5;216;246;168;land;false;plains;1
6;185;149;202;land;false;urban;1
7;196;115;252;land;false;plains;1
8;213;183;155;land;false;plains;1
9;68;251;228;land;false;plains;1
10;91;236;194;land;false;urban;1
11;149;199;191;land;false;plains;1
12;210;198;243;land;false;urban;1
13;89;242;171;land;false;plains;1
14;214;241;112;land;false;plains;1
15;97;231;199;land;false;plains;1
16;246;77;244;land;false;plains;1
17;249;181;153;land;false;plains;1
18;128;248;172;land;false;plains;1
19;250;62;200;land;false;plains;1
20;245;100;235;land;false;urban;1
21;204;224;85;land;false;plains;1
22;136;239;253;land;false;plains;1
23;202;250;237;land;false;plains;1
24;240;172;252;land;false;plains;1
25;181;196;171;land;false;plains;1
26;243;100;210;land;false;plains;1
27;155;180;243;land;false;plains;1
28;208;239;107;land;false;plains;1
29;208;231;205;land;false;plains;1
30;222;83;246;land;false;plains;1
31;223;125;220;land;false;plains;1
32;235;100;228;land;false;plains;1
33;208;222;132;land;false;plains;1
34;246;187;204;land;false;plains;1
35;235;167;132;land;false;plains;1
36;204;135;179;land;false;plains;1
37;206;63;239;land;false;plains;1
38;215;239;134;land;false;plains;1
39;222;247;122;land;false;plains;1
40;194;245;210;land;false;plains;1
41;142;224;198;land;false;plains;1
42;245;226;201;land;false;plains;1
43;221;238;82;land;false;plains;1
44;226;252;106;land;false;urban;1
45;153;251;192;land;false;plains;1
46;251;219;173;land;false;plains;1
47;165;201;254;land;false;plains;1
48;225;234;122;land;false;plains;1
49;235;196;166;land;false;plains;1
50;235;193;198;land;false;plains;1
51;96;245;171;land;false;plains;1
52;253;159;214;land;false;plains;1
53;186;199;239;land;false;plains;1
54;173;248;96;land;false;plains;1
55;138;144;247;land;false;plains;1
56;230;235;102;land;false;plains;1
57;189;223;123;land;false;plains;1
58;230;200;102;land;false;urban;1
59;204;178;226;land;false;plains;1
60;249;210;60;land;false;plains;1
61;247;197;234;land;false;plains;1
62;161;239;193;land;false;plains;1
63;227;211;119;land;false;plains;1
64;190;99;227;land;false;plains;1
65;192;195;137;land;false;plains;1
66;217;107;188;land;false;plains;1
67;88;216;249;land;false;plains;1
68;185;138;181;land;false;plains;1
69;132;235;169;land;false;urban;1
70;231;132;205;land;false;plains;1
71;147;180;233;land;false;plains;1
72;196;160;215;land;false;plains;1
73;156;226;123;land;false;plains;1
74;190;128;196;land;false;urban;1
75;210;226;108;land;false;plains;1
76;126;212;252;land;false;plains;1
77;217;241;93;land;false;plains;1
78;125;233;234;land;false;plains;1
79;238;211;91;land;false;plains;1
80;215;172;176;land;false;plains;1
81;213;210;156;land;false;plains;1
82;227;157;120;land;false;plains;1
83;242;197;164;land;false;urban;1
84;234;229;253;land;false;plains;1
85;227;184;236;land;false;plains;1
86;197;203;223;land;false;plains;1
87;210;166;183;land;false;plains;1
88;231;247;237;land;false;urban;1
89;235;142;190;land;false;plains;1
90;220;203;200;land;false;plains;1
91;157;243;193;land;false;plains;1
92;89;252;249;land;false;plains;1
93;248;230;82;land;false;urban;1
94;118;194;241;land;false;urban;1
95;232;232;136;land;false;urban;1
96;81;240;250;land;false;plains;1
97;232;192;81;land;false;plains;1
98;229;204;124;land;false;plains;1
99;155;148;242;land;false;plains;1
100;156;100;250;land;false;plains;1
101;204;232;125;land;false;plains;1
102;248;233;226;land;false;urban;1
103;173;179;190;land;false;plains;1
104;162;250;159;land;false;plains;1
105;231;120;248;land;false;plains;1
106;239;238;33;land;false;plains;1
107;214;187;199;land;false;plains;1
108;246;84;243;land;false;urban;1
109;129;243;222;land;false;plains;1
110;124;222;253;land;false;plains;1
111;166;133;205;land;false;plains;1
112;185;142;243;land;false;plains;1
113;203;243;177;land;false;plains;1
114;161;179;188;land;false;plains;1
115;204;191;119;land;false;plains;1
116;252;106;173;land;false;plains;1
117;192;227;103;land;false;plains;1
118;251;58;249;land;false;urban;1
119;248;184;125;land;false;plains;1
120;211;85;225;land;false;plains;1
121;236;233;141;land;false;plains;1
122;247;165;187;land;false;plains;1
123;219;190;192;land;false;urban;1
124;248;185;232;land;false;plains;1
125;168;155;232;land;false;plains;1
126;181;111;235;land;false;plains;1
127;246;177;143;land;false;plains;1
128;149;253;113;land;false;plains;1
129;197;227;175;land;false;plains;1
130;229;186;123;land;false;urban;1
131;241;151;209;land;false;urban;1
132;237;244;47;land;false;plains;1
133;116;206;254;land;false;plains;1
134;243;64;234;land;false;plains;1
135;225;61;239;land;false;plains;1
136;207;192;163;land;false;urban;1
137;250;227;190;land;false;urban;1
138;236;63;224;land;false;plains;1
139;206;240;154;land;false;plains;1
140;154;251;164;land;false;urban;1
141;232;121;248;land;false;plains;1
142;237;163;189;land;false;plains;1
143;74;217;232;land;false;plains;1
144;172;172;189;land;false;plains;1
145;225;110;221;land;false;plains;1
146;239;172;223;land;false;plains;1
