1;1139.00;12.90;1044.00;big
1;3521.00;12.90;1102.00;big
2;3313.00;9.90;527.00;big
2;3091.00;9.90;1139.00;big
3;3152.00;9.90;807.00;big
3;2908.00;9.90;1584.00;big
4;3521.00;9.90;1723.00;big
4;3386.00;9.90;1578.00;big
5;3231.00;9.90;1418.00;big
5;3014.00;9.90;1201.00;big
6;2761.00;9.90;953.00;big
6;2828.00;9.90;1015.00;big
7;2443.00;9.90;630.00;big
7;2626.00;9.90;813.00;big
8;2652.00;9.90;1577.00;big
8;2572.00;9.90;1771.00;big
9;2950.00;9.90;1265.00;big
9;2823.00;9.90;1401.00;big
10;3243.00;9.90;1665.00;big
10;3295.00;9.90;1901.00;big
11;3532.00;9.90;1175.00;big
11;3712.00;12.90;1372.00;big
12;2193.00;12.90;1508.00;big
12;2387.00;9.90;997.00;big
13;2799.00;9.90;1161.00;big
13;2449.00;9.90;1079.00;big
14;2402.00;9.90;1605.00;big
14;2517.00;9.90;1383.00;big
